Animal name,Sessions,Tetrode,Cell
Flekken (14147),medbox 1 ,9,1,
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,2,7,
Flekken (14147),medbox 1 ,3,5,
Flekken (14147),medbox 1 ,8,4,
Flekken (14147),medbox 1 ,9,4,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,12,8,
Flekken (14147),medbox 1 ,1,7,
Flekken (14147),medbox 1 ,2,6,
Flekken (14147),medbox 1 ,2,7,
Flekken (14147),medbox 1 ,6,5,
Flekken (14147),medbox 1 ,3,3,
Flekken (14147),medbox 1 ,12,4,
Flekken (14147),medbox 1 ,12,5,
Flekken (14147),medbox 1 ,1,9,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,2,5,
Flekken (14147),medbox 1 ,3,3,
Flekken (14147),medbox 1 ,3,6,
Flekken (14147),medbox 1 ,6,2,
Flekken (14147),medbox 1 ,9,3,
Flekken (14147),medbox 1 ,12,5,
Flekken (14147),medbox ,2,2,
Flekken (14147),medbox ,3,2,
Flekken (14147),medbox ,3,5,
Flekken (14147),medbox ,4,2,
Flekken (14147),medbox ,12,1,
Flekken (14147),medbox ,12,4,
Joppe,2011-03-28_16-06-26 ,5,3,
Joppe,2011-03-28_17-57-41 ,3,1,
Joppe,2011-03-28_17-57-41 ,5,3,
Joppe,2011-03-28_17-57-41 ,5,5,
Joppe,2011-03-28_17-57-41 ,5,6,
Joppe,2011-03-29_10-31-16 ,5,3,
Joppe,2011-03-29_13-19-17 ,4,1,
Joppe,2011-03-29_13-19-17 ,5,5,
Joppe,2011-03-29_15-58-03 ,2,4,
Joppe,2011-03-29_15-58-03 ,3,1,
Joppe,2011-03-29_15-58-03 ,4,3,
Joppe,2011-03-29_15-58-03 ,5,4,
Joppe,2011-03-29_15-58-03 ,5,5,
Joppe,2011-03-29_18-32-32 ,4,2,
Joppe,2011-03-29_18-32-32 ,5,3,
Joppe,2011-03-29_18-32-32 ,5,5,
Joppe,2011-03-30_10-04-47 ,3,1,
Joppe,2011-03-30_10-04-47 ,4,2,
Joppe,2011-03-30_15-26-15 ,1,4,
Joppe,2011-03-30_15-26-15 ,1,6,
Joppe,2011-03-30_15-26-15 ,3,3,
Joppe,2011-03-30_15-26-15 ,4,3,
Joppe,2011-03-30_15-26-15 ,4,5,
Joppe,2011-03-30_15-26-15 ,5,2,
Joppe,2011-03-30_15-26-15 ,5,3,
Joppe,2011-03-30_15-26-15 ,5,5,
Joppe,2011-03-30_17-42-28 ,4,2,
Joppe,2011-03-30_17-42-28 ,4,3,
Joppe,2011-03-30_17-42-28 ,5,4,
Joppe,2011-03-30_17-42-28 ,6,1,
Joppe,2011-03-31_11-00-33 ,2,3,
Joppe,2011-03-31_11-00-33 ,3,2,
Joppe,2011-03-31_11-00-33 ,3,3,
Joppe,2011-03-31_14-00-08 ,6,1,
Joppe,2011-03-31_14-00-08 ,6,4,
Joppe,2011-03-31_14-00-08 ,6,7,
Joppe,2011-04-01_10-52-48 ,6,2,
Joppe,2011-04-01_10-52-48 ,6,6,
Joppe,2011-04-01_14-39-44 ,1,1,
Joppe,2011-04-01_14-39-44 ,1,2,
Joppe,2011-04-01_14-39-44 ,1,5,
Joppe,2011-04-01_14-39-44 ,2,3,
Joppe,2011-04-01_14-39-44 ,5,7,
Joppe,2011-04-02_13-01-53 ,1,2,
Joppe,2011-04-02_13-01-53 ,3,1,
Joppe,2011-04-02_13-01-53 ,5,1,
Joppe,2011-04-02_16-20-11 ,1,2,
Joppe,2011-04-02_16-20-11 ,6,2,
Joppe,2011-04-03_18-06-01 ,3,2,
Joppe,2011-04-03_18-06-01 ,4,2,
Joppe,2011-04-03_18-06-01 ,4,3,
Joppe,2011-04-03_18-06-01 ,12,2,
Joppe,2011-04-04_14-50-00 ,1,10,
Joppe,2011-04-04_14-50-00 ,3,1,
Joppe,2011-04-04_14-50-00 ,4,1,
Joppe,2011-04-04_14-50-00 ,5,5,
Joppe,2011-04-04_14-50-00 ,12,5,
Joppe,2011-04-05_16-13-16 ,1,5,
Joppe,2011-04-05_16-13-16 ,1,7,
Joppe,2011-04-05_16-13-16 ,3,1,
Joppe,2011-04-05_16-13-16 ,6,1,
Joppe,2011-04-05_16-13-16 ,6,2,
Joppe,2011-04-05_16-13-16 ,12,2,
Joppe,2011-04-05_16-13-16 ,12,4,
Joppe,2011-04-06_10-34-39 ,1,5,
Joppe,2011-04-06_16-53-01 ,1,1,
Joppe,2011-04-06_16-53-01 ,3,1,
Joppe,2011-04-06_16-53-01 ,3,3,
Joppe,2011-04-06_16-53-01 ,6,1,
Joppe,2011-04-06_16-53-01 ,6,3,
Joppe,2011-04-07_16-13-53 ,1,3,
Joppe,2011-04-07_16-13-53 ,1,5,
Joppe,2011-04-07_16-13-53 ,1,6,
Joppe,2011-04-07_16-13-53 ,3,1,
Joppe,2011-04-07_16-13-53 ,4,4,
Joppe,2011-04-07_16-13-53 ,4,5,
Joppe,2011-04-07_16-13-53 ,4,7,
Joppe,2011-04-08_16-16-45 ,5,2,
Joppe,2011-04-09_18-18-31 ,1,3,
Joppe,2011-04-09_18-18-31 ,6,5,
Joppe,2011-04-10_16-19-53 ,4,1,
Joppe,2011-04-11_18-02-27 ,3,2,
Joppe,2011-04-11_18-02-27 ,3,3,
Joppe,2011-04-11_18-02-27 ,5,3,
Joppe,2011-04-11_18-02-27 ,5,9,
Joppe,2011-04-11_18-02-27 ,5,11,
Joppe,2011-04-11_18-02-27 ,6,1,
Joppe,2011-04-11_18-02-27 ,6,3,
Joppe,2011-04-11_18-02-27 ,6,4,
Joppe,2011-04-12_17-41-27 ,1,2,
Joppe,2011-04-12_17-41-27 ,4,8,
Joppe,2011-04-14_13-54-07 ,1,1,
Joppe,2011-04-14_13-54-07 ,2,1,
Joppe,2011-04-14_13-54-07 ,3,3,
Joppe,2011-04-15_18-32-49 ,3,2,
Joppe,2011-04-15_18-32-49 ,4,1,
Joppe,2011-04-18_12-19-59 ,2,3,
Joppe,2011-04-18_12-19-59 ,3,1,
Joppe,2011-04-18_12-19-59 ,3,4,
Joppe,2011-04-18_12-19-59 ,3,5,
Joppe,2011-04-18_12-19-59 ,3,7,
Joppe,2011-04-18_12-19-59 ,4,2,
Joppe,2011-04-18_12-19-59 ,6,1,
Joppe,2011-04-18_12-19-59 ,6,4,
Joppe,2011-04-18_16-09-13 ,3,2,
Joppe,2011-04-18_16-09-13 ,3,4,
Joppe,2011-04-18_16-09-13 ,3,7,
Joppe,2011-04-18_16-09-13 ,4,1,
Joppe,2011-04-18_16-09-13 ,6,5,
Joppe,2011-04-20_16-00-15 ,2,1,
Joppe,2011-04-20_16-00-15 ,2,3,
Joppe,2011-04-20_16-00-15 ,2,5,
Joppe,2011-04-20_16-00-15 ,6,1,
Joppe,2011-04-21_18-52-52 ,3,1,
Joppe,2011-04-22_19-54-12 ,3,1,
Joppe,2011-04-26_16-50-33 ,4,4,
13388 - Rufus,31070901 31070902 31070903 31070904 ,6,1,
13388 - Rufus,07080901 07080902 07080903 07080904 ,6,1,
13388 - Rufus,07080901 07080902 07080903 07080904 ,6,2,
13388 - Rufus,11080902 11080903 11080904 11080905 ,6,1,
13388 - Rufus,11080902 11080903 11080904 11080905 ,8,1,
13388 - Rufus,11080902 11080903 11080904 11080905 ,8,2,
13388 - Rufus,13080901 13080902 13080903 13080904 ,8,1,
13388 - Rufus,13080901 13080902 13080903 13080904 ,8,2,
13388 - Rufus,14080901 14080902 14080903 14080904 ,6,1,
13388 - Rufus,14080901 14080902 14080903 14080904 ,6,2,
13388 - Rufus,14080901 14080902 14080903 14080904 ,8,3,
13388 - Rufus,14080901 14080902 14080903 14080904 ,8,4,
13388 - Rufus,14080901 14080902 14080903 14080904 ,8,4,
13388 - Rufus,15080901 15080902 15080903 15080904 ,6,1,
13388 - Rufus,15080901 15080902 15080903 15080904 ,6,2,
13388 - Rufus,20080901 20080902 20080903 20080904 ,6,1,
13388 - Rufus,21080901 21080902 21080903 21080904 ,6,1,
13388 - Rufus,24080905 24080906 24080907 24080908 ,6,1,
13388 - Rufus,26080903 26080904 26080905 26080906 ,8,1,
13388 - Rufus,27080902 27080903 27080904 27080905 ,8,1,
13388 - Rufus,30080901 30080902 30080903 30080904 ,8,1,
13388 - Rufus,30080901 30080902 30080903 30080904 ,8,2,
13388 - Rufus,01090905 01090906 01090907 01090908 ,8,1,
13388 - Rufus,05090901 05090902 05090903 05090904 ,6,1,
13388 - Rufus,05090901 05090902 05090903 05090904 ,6,2,
13388 - Rufus,05090901 05090902 05090903 05090904 ,6,3,
13388 - Rufus,05090901 05090902 05090903 05090904 ,6,5,
13388 - Rufus,05090901 05090902 05090903 05090904 ,8,1,
13388 - Rufus,05090901 05090902 05090903 05090904 ,8,2,
13388 - Rufus,05090901 05090902 05090903 05090904 ,8,3,
13388 - Rufus,05090901 05090902 05090903 05090904 ,8,4,
13388 - Rufus,06090901 06090902 06090903 06090904 ,6,4,
13388 - Rufus,06090901 06090902 06090903 06090904 ,8,1,
13388 - Rufus,06090901 06090902 06090903 06090904 ,8,2,
13388 - Rufus,06090901 06090902 06090903 06090904 ,8,4,
13388 - Rufus,07090901 07090902 07090903 07090904 ,6,1,
13388 - Rufus,07090901 07090902 07090903 07090904 ,6,2,
13388 - Rufus,07090901 07090902 07090903 07090904 ,6,3,
13388 - Rufus,07090901 07090902 07090903 07090904 ,6,4,
13388 - Rufus,07090901 07090902 07090903 07090904 ,6,5,
13388 - Rufus,07090901 07090902 07090903 07090904 ,6,6,
13388 - Rufus,07090901 07090902 07090903 07090904 ,8,1,
13388 - Rufus,07090901 07090902 07090903 07090904 ,8,2,
13388 - Rufus,08090901 08090902 08090903 08090904 ,6,1,
13388 - Rufus,08090901 08090902 08090903 08090904 ,6,2,
13388 - Rufus,08090901 08090902 08090903 08090904 ,6,3,
13388 - Rufus,08090901 08090902 08090903 08090904 ,6,4,
13388 - Rufus,08090901 08090902 08090903 08090904 ,8,1,
13388 - Rufus,08090901 08090902 08090903 08090904 ,8,2,
13388 - Rufus,08090901 08090902 08090903 08090904 ,8,3,
13388 - Rufus,09090901 09090902 09090903 09090904 ,6,1,
13388 - Rufus,16090901 16090902 16090903 16090904 ,6,2,
13388 - Rufus,16090901 16090902 16090903 16090904 ,8,3,
13388 - Rufus,17090901 17090902 17090903 17090904 ,8,1,
13388 - Rufus,17090901 17090902 17090903 17090904 ,8,2,
13388 - Rufus,17090901 17090902 17090903 17090904 ,8,4,
13388 - Rufus,18090901 18090902 18090903 18090904 ,6,1,
13388 - Rufus,22090901 22090902 22090903 22090904 ,6,1,
13388 - Rufus,22090901 22090902 22090903 22090904 ,8,1,
13473,26100901 26100902 26100903 26100904 26100905 26100906 26100907 ,8,3,
13473,11110901 11110902 ,8,2,
13473,11110901 11110902 ,8,3,
13473,12110901 12110902 12110903 12110904 ,8,1,
13473,13110902 13110903 13110904 ,8,1,
13473,13110912 13110913 13110914 13110915 ,8,4,
13473,14110902 14110903 14110904 ,7,1,
13473,14110902 14110903 14110904 ,8,1,
13473,15110901 15110902 ,7,2,
13473,15110901 15110902 ,8,2,
13473,15110901 15110902 ,8,4,
13473,16110902 16110903 ,7,1,
13473,16110902 16110903 ,8,3,
13473,17110902 17110903 17110904 ,8,1,
13473,19110902 19110903 ,8,1,
13473,20110921 20110922 20110923 ,5,1,
13473,20110921 20110922 20110923 ,5,2,
13473,20110921 20110922 20110923 ,7,1,
13473,20110921 20110922 20110923 ,8,2,
13473,20110921 20110922 20110923 ,8,3,
13473,23110902 23110903 ,7,1,
13473,23110902 23110903 ,7,2,
13473,23110931 23110932 ,7,3,
13473,25110901 25110902 ,8,3,
13473,25110901 25110902 ,8,4,
13473,26110902 26110903 ,8,1,
13473,26110902 26110903 ,8,2,
13473,26110902 26110903 ,8,4,
13473,27110901 27110902 ,8,3,
13473,27110901 27110902 ,8,7,
13473,27110901 27110902 ,8,8,
13473,27110901 27110902 ,8,9,
13473,07120932 07120933 ,8,1,
13473,07120932 07120933 ,8,2,
13473,07120932 07120933 ,8,3,
13473,07120932 ,7,7,
13473,08120902 08120903 08120904 ,8,5,
13473,09120902 09120903 ,7,2,
13473,09120902 09120903 ,8,5,
13473,16120902 16120903 ,5,2,
13473,17120902 17120903 ,5,2,
13473,18120902 18120903 ,8,3,
13473,19120902 19120903 ,5,5,
13473,20120902 20120903 ,8,1,
13473,20120902 20120903 ,8,3,
13473,21120902 21120903 ,8,1,
13473,21120902 21120903 ,8,2,
13473,21120902 21120903 ,5,1,
13473,22120902 22120903 22120904 ,7,2,
13473,22120902 22120903 22120904 ,7,3,
13473,28120902 28120903 ,8,6,
13473,29120902 29120903 ,7,2,
13473,29120902 29120903 ,8,1,
13473,29120902 29120903 ,8,2,
13473,30120902 30120903 ,7,1,
13473,30120902 30120903 ,8,1,
14257 - Kratos,05051002 05051003 05051004 05051005 ,3,1,
14257 - Kratos,05051002 05051003 05051004 05051005 ,3,2,
14257 - Kratos,06051002 06051003 06051004 06051005 06051006 06051007 ,3,1,
14257 - Kratos,08051002 08051003 08051004 08051005 08051006 08051007 ,3,1,
14257 - Kratos,11051002 11051003 11051004 11051005 11051006 ,2,1,
14257 - Kratos,11051002 11051003 11051004 11051005 11051006 ,3,1,
14257 - Kratos,12051002 12051003 12051004 12051005 12051006 12051007 ,3,1,
14257 - Kratos,13051002 13051003 13051004 13051005 ,3,1,
14257 - Kratos,14051002 14051003 14051004 14051005 14051006 ,3,1,
14257 - Kratos,20051002 20051003 20051004 20051005 20051006 20051007 20051008 ,2,1,
14257 - Kratos,21051002 21051003 21051004 21051005 21051006 21051007 21051008 21051009 ,3,1,
14257 - Kratos,22051002 22051003 22051004 22051005 22051006 22051007 22051008 ,2,2,
14257 - Kratos,24051002 24051003 24051004 24051005 24051006 24051007 24051008 24051009 ,2,2,
14257 - Kratos,24051002 24051003 24051004 24051005 24051006 24051007 24051008 24051009 ,2,3,
14257 - Kratos,24051002 24051003 24051004 24051005 24051006 24051007 24051008 24051009 ,3,1,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,2,1,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,2,2,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,2,3,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,3,1,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,3,2,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,3,3,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,3,4,
14257 - Kratos,29051002 29051003 29051004 29051005 29051006 29051007 29051008 29051009 ,3,5,
14257 - Kratos,30051002 30051003 30051004 30051005 30051006 30051007 30051008 ,2,1,
14257 - Kratos,30051002 30051003 30051004 30051005 30051006 30051007 30051008 ,3,2,
14257 - Kratos,31051002 31051003 31051004 31051005 31051006 31051007 31051008 ,2,1,
14257 - Kratos,31051002 31051003 31051004 31051005 31051006 31051007 31051008 ,3,1,
14257 - Kratos,01061002 01061003 01061004 01061005 01061006 01061007 ,2,1,
14257 - Kratos,03061002 03061003 03061004 03061005 03061006 03061007 03061008 ,2,1,
14257 - Kratos,03061002 03061003 03061004 03061005 03061006 03061007 03061008 ,2,2,
14257 - Kratos,03061002 03061003 03061004 03061005 03061006 03061007 03061008 ,3,1,
14257 - Kratos,03061002 03061003 03061004 03061005 03061006 03061007 03061008 ,3,2,
14257 - Kratos,04061002 04061003 04061004 04061005 04061006 04061007 ,2,1,
14257 - Kratos,04061002 04061003 04061004 04061005 04061006 04061007 ,2,2,
14257 - Kratos,04061002 04061003 04061004 04061005 04061006 04061007 ,3,1,
14257 - Kratos,04061002 04061003 04061004 04061005 04061006 04061007 ,3,2,
14257 - Kratos,09061002 09061003 09061004 ,2,1,
14257 - Kratos,09061002 09061003 09061004 ,2,2,
14257 - Kratos,09061002 09061003 09061004 ,3,1,
14257 - Kratos,09061002 09061003 09061004 ,3,2,
14257 - Kratos,09061002 09061003 09061004 ,3,3,
14257 - Kratos,10061002 10061003 10061004 10061005 10061006 ,3,1,
14257 - Kratos,10061002 10061003 10061004 10061005 10061006 ,3,2,
14257 - Kratos,11061002 11061003 11061004 11061005 11061006 11061007 ,3,1,
14257 - Kratos,14061002 14061003 14061004 14061005 14061006 ,3,1,
14257 - Kratos,14061002 14061003 14061004 14061005 14061006 ,3,2,
14257 - Kratos,15061002 15061003 15061004 15061005 15061006 ,3,1,
14257 - Kratos,15061002 15061003 15061004 15061005 15061006 ,3,2,
14257 - Kratos,15061002 15061003 15061004 15061005 15061006 ,3,3,
14257 - Kratos,16061002 16061003 16061004 16061005 16061006 ,2,1,
14257 - Kratos,16061002 16061003 16061004 16061005 16061006 ,3,1,
14257 - Kratos,16061002 16061003 16061004 16061005 16061006 ,3,2,
14257 - Kratos,16061002 16061003 16061004 16061005 16061006 ,3,3,
14257 - Kratos,16061002 16061003 16061004 16061005 16061006 ,3,4,
14257 - Kratos,17061002 17061003 17061004 17061005 17061006 17061007 ,3,1,
14257 - Kratos,17061002 17061003 17061004 17061005 17061006 17061007 ,3,2,
14257 - Kratos,17061002 17061003 17061004 17061005 17061006 17061007 ,3,3,
14257 - Kratos,17061002 17061003 17061004 17061005 17061006 17061007 ,3,4,
14257 - Kratos,18061002 18061003 18061004 18061005 18061006 18061007 18061008 18061009 ,3,1,
14257 - Kratos,18061002 18061003 18061004 18061005 18061006 18061007 18061008 18061009 ,3,2,
14257 - Kratos,18061002 18061003 18061004 18061005 18061006 18061007 18061008 18061009 ,3,3,
14257 - Kratos,18061002 18061003 18061004 18061005 18061006 18061007 18061008 18061009 ,3,4,
14257 - Kratos,20061002 20061003 20061004 20061005 20061006 ,3,1,
14257 - Kratos,20061002 20061003 20061004 20061005 20061006 ,3,2,
14257 - Kratos,20061002 20061003 20061004 20061005 20061006 ,3,3,
14257 - Kratos,21061002 21061003 21061004 21061005 21061006 21061007 ,3,1,
14760 - Bull,04081003 04081004 04081005 04081006 ,6,1,
14760 - Bull,05081002 05081003 05081004 05081005 ,6,1,
14760 - Bull,03091002 03091003 03091004 03091005 03091006 ,6,1,
14760 - Bull,06091001 06091002 06091003 06091004 06091005 ,6,1,
14760 - Bull,06091001 06091002 06091003 06091004 06091005 ,6,2,
14760 - Bull,06091001 06091002 06091003 06091004 06091005 ,6,3,
14760 - Bull,18091002 18091003 18091004 18091005 18091006 ,6,1,
14760 - Bull,18091002 18091003 18091004 18091005 18091006 ,6,2,
14760 - Bull,19091002 19091003 19091004 19091005 19091006 ,6,1,
14760 - Bull,20091002 20091003 20091004 20091005 20091006 ,6,1,
14760 - Bull,20091002 20091003 20091004 20091005 20091006 ,6,2,
14760 - Bull,20091002 20091003 20091004 20091005 20091006 ,6,3,
14760 - Bull,21091002 21091003 21091004 21091005 21091006 ,6,1,
14760 - Bull,23091002 23091003 23091004 23091005 23091006 23091007 ,6,1,
14760 - Bull,25091002 25091003 25091004 25091005 25091006 25091007 25091008 ,6,1,
14760 - Bull,25091002 25091003 25091004 25091005 25091006 25091007 25091008 ,6,2,
15444 - Omega,28031101 28031102 28031103 28031104 28031105 28031106 28031107 ,7,1,
15444 - Omega,13041101 13041102 13041103 13041104 ,8,1,
15444 - Omega,29041111 29041112 29041113 29041114 29041115 ,7,1,
15444 - Omega,29041111 29041112 29041113 29041114 29041115 ,7,2,
15444 - Omega,01051101 01051102 01051103 01051104 01051105 ,7,1,
15444 - Omega,01051101 01051102 01051103 01051104 01051105 ,7,2,
15444 - Omega,01051101 01051102 01051103 01051104 01051105 ,7,3,
15444 - Omega,01051101 01051102 01051103 01051104 01051105 ,8,1,
15444 - Omega,03051101 03051102 03051103 03051104 03051105 ,7,1,
15444 - Omega,03051101 03051102 03051103 03051104 03051105 ,7,2,
15444 - Omega,04041101 04041102 04041103 04041104 04041105 ,8,1,
15444 - Omega,04041101 04041102 04041103 04041104 04041105 ,8,2,
15444 - Omega,05051101 05051102 05051103 05051104 ,3,1,
15444 - Omega,05051101 05051102 05051103 05051104 ,7,1,
15444 - Omega,06051101 06051102 06051103 06051104 06051105 ,7,1,
15444 - Omega,08051101 08051102 08051103 08051104 08051105 08051106 ,3,1,
15444 - Omega,08051101 08051102 08051103 08051104 08051105 08051106 ,7,1,
15444 - Omega,08051101 08051102 08051103 08051104 08051105 08051106 ,8,1,
15444 - Omega,09051101 09051102 09051103 09051104 09051105 09051106 ,1,1,
15444 - Omega,09051101 09051102 09051103 09051104 09051105 09051106 ,1,2,
15444 - Omega,09051101 09051102 09051103 09051104 09051105 09051106 ,1,3,
15444 - Omega,09051101 09051102 09051103 09051104 09051105 09051106 ,3,1,
15444 - Omega,16051101 16051102 16051103 16051104 16051105 16051106 ,3,1,
15444 - Omega,18051101 18051102 18051103 18051104 18051105 ,1,1,
15444 - Omega,18051101 18051102 18051103 18051104 18051105 ,2,1,
15444 - Omega,18051101 18051102 18051103 18051104 18051105 ,3,1,
15444 - Omega,18051101 18051102 18051103 18051104 18051105 ,3,2,
15444 - Omega,19051101 19051102 19051103 19051104 19051105 19051106 ,1,1,
15444 - Omega,19051101 19051102 19051103 19051104 19051105 19051106 ,2,1,
15444 - Omega,19051101 19051102 19051103 19051104 19051105 19051106 ,3,1,
15444 - Omega,19051101 19051102 19051103 19051104 19051105 19051106 ,3,2,
15444 - Omega,22051101 22051102 22051103 22051104 22051105 ,3,1,
15444 - Omega,22051101 22051102 22051103 22051104 22051105 ,8,1,
15444 - Omega,23051101 23051102 23051103 23051104 23051105 ,2,1,
15444 - Omega,26051101 26051102 26051103 26051104 26051105 ,1,1,
15444 - Omega,26051101 26051102 26051103 26051104 26051105 ,2,1,
15444 - Omega,26051101 26051102 26051103 26051104 26051105 ,3,1,
15444 - Omega,27051101 27051102 27051103 27051104 27051105 27051106 ,1,1,
15444 - Omega,27051101 27051102 27051103 27051104 27051105 27051106 ,2,1,
15444 - Omega,27051101 27051102 27051103 27051104 27051105 27051106 ,2,2,
